prompt,completion,train
<s>[INST] Provide details for the goal scored by Lucien Laurent of France in the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by Lucien Laurent of France in the 19' minute (first half) during the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 19, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Marcel Langiller of France in the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by Marcel Langiller of France in the 40' minute (first half) during the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 40, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by André Maschinot of France in the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by André Maschinot of France in the 43' minute (first half) during the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 43, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Juan Carreño of Mexico in the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by Juan Carreño of Mexico in the 70' minute (second half) during the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 70, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by André Maschinot of France in the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by André Maschinot of France in the 87' minute (second half) during the 1930 FIFA Men's World Cup match France vs Mexico on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 87, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bart McGhee of United States in the 1930 FIFA Men's World Cup match United States vs Belgium on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by Bart McGhee of United States in the 23' minute (first half) during the 1930 FIFA Men's World Cup match United States vs Belgium on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 23, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Tom Florie of United States in the 1930 FIFA Men's World Cup match United States vs Belgium on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by Tom Florie of United States in the 45' minute (first half) during the 1930 FIFA Men's World Cup match United States vs Belgium on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 45, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bert Patenaude of United States in the 1930 FIFA Men's World Cup match United States vs Belgium on 1930-07-13 at the group stage stage.  [/INST],"The goal was scored by Bert Patenaude of United States in the 69' minute (second half) during the 1930 FIFA Men's World Cup match United States vs Belgium on 1930-07-13 at the group stage stage. It was regular play. Minute of regulation: 69, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Aleksandar Tirnanić of Yugoslavia in the 1930 FIFA Men's World Cup match Yugoslavia vs Brazil on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by Aleksandar Tirnanić of Yugoslavia in the 21' minute (first half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Brazil on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 21, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Ivan Bek of Yugoslavia in the 1930 FIFA Men's World Cup match Yugoslavia vs Brazil on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by Ivan Bek of Yugoslavia in the 30' minute (first half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Brazil on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 30, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Preguinho of Brazil in the 1930 FIFA Men's World Cup match Yugoslavia vs Brazil on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by not applicable Preguinho of Brazil in the 62' minute (second half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Brazil on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 62, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Adalbert Deşu of Romania in the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by Adalbert Deşu of Romania in the 1' minute (first half) during the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 1, minute of stoppage: 0.",train
